06/02/2020;86360;27633;
07/02/2020;86360;27632;
07/02/2020;86360;27632;
07/02/2020;86360;27633;
07/02/2020;86360;27633;
07/02/2020;86360;27633;
07/02/2020;86360;27633;
07/02/2020;86360;27632;
07/02/2020;86360;27633;
07/02/2020;86360;27632;
07/02/2020;86360;27633;
07/02/2020;86360;27633;
07/02/2020;86360;27633;
07/02/2020;86360;27633;
07/02/2020;86360;27633;
07/02/2020;86360;27633;
07/02/2020;86360;27632;
07/02/2020;86360;27633;
07/02/2020;86360;27633;
07/02/2020;86360;27633;
06/02/2020;86360;27633;
06/02/2020;86360;27632;
06/02/2020;86360;27633;
06/02/2020;86360;27632;
06/02/2020;86360;27633;
06/02/2020;86360;27632;
06/02/2020;86360;27633;
06/02/2020;86360;27632;
06/02/2020;86360;27632;
06/02/2020;86360;27632;
06/02/2020;86360;27633;
06/02/2020;86360;27633;
06/02/2020;86360;27633;
11/02/2020;86909;27851;
12/02/2020;87023;27929;
12/02/2020;87075;27940;
13/02/2020;87185;28001;
14/02/2020;87306;28118;
14/02/2020;87386;28145;
17/02/2020;87638;28268;
02/03/2020;89254;29280;
06/03/2020;89671;29493;
03/06/2020;95910;33970;
03/06/2020;95910;33970;
03/06/2020;95910;33970;
03/06/2020;95910;33970;
03/06/2020;95910;33970;
03/06/2020;95916;33970;
03/06/2020;95931;33978;
22/06/2020;97332;35098;
25/06/2020;97567;35276;
